	Description	MG1999112202AA.CEL	MG1999112204AA.CEL	MG1999112206AA.CEL	MG2000011801AA.CEL	MG2000011803AA.CEL	MG2000011807AA.CEL	MG2000030308AA.CEL	MG2000031503AA.CEL	MG2000032015AA.CEL	MG2000033106AA.CEL	MG2000033107AA.CEL	MG2000033109AA.CEL	MG2000040501AA.CEL	MG2000040502AA.CEL	MG2000040504AA.CEL	MG2000040505AA.CEL	MG2000040508AA.CEL	MG2000040509AA.CEL	MG2000040510AA.CEL	MG2000040511AA.CEL	MG2000040512AA.CEL	MG2000040513AA.CEL	MG2000051201AA.CEL	MG2000051202AA.CEL	MG2000051204AA.CEL	MG2000051205AA.CEL	MG2000051207AA.CEL	MG2000051208AA.CEL	MG2000051209AA.CEL	MG2000051211AA.CEL	MG2000051213AA.CEL	MG2000061902AA.CEL	MG2000061903AA.CEL	MG2000061904AA.CEL	MG2000061905AA.CEL	MG2000061906AA.CEL	MG2000070709AA.CEL	MG2000070710AA.CEL	MG2000070711AA.CEL	MG2000070712AA.CEL	MG2000070713AA.CEL	MG2000071102AA.CEL
AB000462_at	"SH3 binding protein, clone RES4-23A"	8.62E+03	3.38E+03	1.23E+04	9.77E+03	5.27E+03	8.04E+03	6.32E+03	5.02E-02	6.03E+02	3.58E+01	1.65E+02	2.31E+01	9.85E+03	8.29E+03	2.64E+02	1.61E+02	1.40E-01	2.87E+03	9.51E+04	1.44E+03	3.34E+05	4.36E+00	3.71E+03	1.81E+01	6.85E+01	1.80E+04	1.03E+01	6.26E+01	2.60E+01	1.10E+04	9.75E+02	1.05E+03	1.05E+03	1.68E+04	7.13E+01	7.19E+04	3.71E+03	8.24E+00	3.38E+03	1.81E+04	1.63E+03	7.75E-02
AB000464_at	"mRNA, clone RES4-24A, exon 1, 2, 3, 4"	2.80E+02	1.05E+02	8.73E+02	2.94E+02	3.29E+00	6.50E-02	6.45E-02	6.40E-02	8.65E+00	3.93E-02	3.09E-02	4.10E-02	5.66E+02	1.36E-01	2.28E-01	3.11E-01	2.71E-02	4.90E-02	2.29E-01	1.78E-01	6.31E-01	3.75E-02	4.88E-02	9.22E-02	8.46E-02	4.72E-01	6.94E-02	1.06E-01	5.10E-02	4.58E-01	3.77E+00	5.35E-02	7.31E-02	6.67E-02	3.63E-02	3.61E-02	1.38E+02	3.85E+04	1.61E+00	1.25E+02	3.39E+02	6.72E-02
AB000466_at	"mRNA, clone RES4-24C, exon 1, 2, 3"	1.08E+05	1.18E+05	8.59E+05	4.91E+04	1.67E+04	1.76E+05	6.31E+07	2.01E+04	3.24E+04	2.29E+06	5.76E+05	1.14E+04	4.63E+05	3.83E+05	3.01E+04	9.25E+06	3.00E+03	7.71E+05	2.26E+07	3.83E+10	6.64E+04	1.09E+06	1.12E+06	1.08E+04	5.63E+04	2.63E+06	2.08E+05	3.55E+05	2.40E+05	6.78E+05	1.37E+05	1.05E+05	5.61E+04	1.03E+05	1.54E+06	1.84E+07	1.64E+06	4.75E+07	2.59E+04	4.06E+05	1.40E+06	2.33E+05
AB000467_at	"mRNA, clone RES4-25, partial cds"	5.61E+05	1.80E+04	4.80E+04	1.57E+05	3.82E+04	7.41E+05	5.89E+05	3.09E+04	3.53E+05	4.85E+04	1.18E+07	4.00E+05	2.63E+04	9.81E+04	2.35E+04	5.17E+05	1.57E+00	5.88E+04	1.37E+04	6.96E+04	4.90E+05	9.80E+04	1.88E+04	7.20E+04	1.84E+04	2.78E+04	1.54E+04	5.36E+04	2.29E+04	6.08E+04	4.17E+05	3.11E+05	4.92E+05	2.77E+04	1.33E+04	8.81E+03	1.19E+06	2.15E+07	2.16E+05	2.44E+06	1.99E+05	7.79E+03
AB000468_at	"Zinc finger protein, clone RES4-26"	3.36E+02	4.53E-02	1.53E+00	1.36E+04	2.90E+01	1.30E-01	6.36E+00	1.43E-01	9.11E+00	5.74E-02	1.72E-01	5.22E-01	3.32E-02	3.48E+02	6.07E-02	1.03E-01	3.51E-02	3.10E-02	2.06E-02	5.09E-02	2.92E-01	3.61E-02	4.85E-01	6.38E+03	1.99E+01	1.32E+02	5.15E-02	4.79E-02	4.36E-02	1.18E+01	7.39E+02	1.38E-02	1.49E-02	1.57E-02	5.86E-03	1.03E-02	1.31E+01	3.81E-02	4.84E-02	3.93E-02	5.52E+06	2.83E-02
AB000584_at	Prostate differentiation factor mRNA	6.25E+05	5.43E-02	7.31E+04	8.41E+04	4.80E+04	3.47E+02	1.19E+04	7.34E+02	3.17E+04	7.84E+04	3.13E+02	2.36E+03	7.07E+03	1.24E+04	3.58E+04	2.51E+05	4.01E+02	2.96E+04	1.20E+03	4.06E+05	1.62E+03	1.48E+04	9.82E+04	4.86E+03	2.16E+05	6.54E+05	9.36E-01	5.62E-01	7.62E+04	2.78E+03	1.53E+04	2.28E+04	2.85E-02	3.56E+00	1.05E-02	8.15E-03	6.94E+03	7.12E+01	3.18E+02	3.60E-02	5.69E+04	2.04E+03
AB000816_s_at	"BMAL1d, partial cds"	3.39E+03	3.93E+01	8.68E+02	3.13E+02	2.25E+02	3.05E+03	3.83E+03	9.55E+02	3.89E+04	5.31E+03	1.15E+04	2.02E+04	2.81E+03	6.76E+04	2.55E+02	1.87E+03	5.98E+04	1.59E+04	8.23E+03	8.57E+02	2.76E+03	1.85E+07	1.91E+06	2.35E+04	3.65E+03	2.68E+03	2.70E+00	3.48E+04	2.34E+03	3.64E+04	1.44E+03	8.31E+04	7.46E+03	5.43E+04	1.23E+04	7.00E+04	1.08E+04	1.39E+04	1.86E+04	9.21E+04	3.14E+04	2.27E-02
AB000895_at	"Cadherin FIB1, partial cds"	1.81E+05	5.23E+04	9.70E+03	8.20E+04	2.87E+05	1.50E+05	3.43E+04	1.08E+04	7.62E+03	1.09E+05	6.43E+04	1.19E+05	1.64E+05	5.67E+06	5.54E+05	1.15E+04	1.41E+02	1.12E+05	1.51E+04	9.12E+04	1.30E+05	4.97E+05	2.84E+04	3.59E+05	1.98E+04	2.03E+05	5.72E+04	7.85E+06	1.36E+05	4.98E+05	8.55E+04	2.45E+06	1.58E+06	5.99E+05	1.98E+05	6.93E+05	9.97E+05	1.26E+05	1.35E+06	1.78E+04	2.74E+05	8.42E+04
AB000896_at	"Cadherin FIB2, partial cds"	1.83E+04	1.09E+04	2.25E+04	1.53E+05	6.83E+03	1.38E+04	1.51E+05	2.38E+04	5.05E+04	1.68E+04	3.07E+03	5.39E+02	9.77E+03	2.62E+11	1.88E+05	2.85E+04	2.75E-02	6.32E+04	1.72E+05	4.32E+05	6.55E+03	8.65E+05	8.11E+06	2.71E+04	4.97E+04	2.01E+05	1.00E+04	1.72E+04	7.07E+04	7.59E+03	7.09E+05	2.09E+04	4.73E+03	1.63E+08	1.79E+03	1.52E+03	2.24E+05	9.26E+04	4.06E+05	2.77E+05	2.42E+05	2.71E-01
AB000897_at	"Cadherin FIB3, partial cds"	2.55E+03	5.09E+05	9.25E+02	1.53E+04	1.73E+03	1.19E+04	2.55E+04	4.31E+04	3.26E+04	1.94E+04	1.40E+06	5.18E+02	1.50E+03	3.64E+03	1.80E+02	7.45E+00	8.83E-03	2.85E+04	4.47E-01	1.61E+03	1.67E+04	6.00E-01	2.44E+03	5.52E+04	8.01E+04	2.07E+04	3.42E+03	4.96E+03	1.29E+04	3.38E+00	1.48E+04	3.85E+03	5.15E+02	3.19E+07	5.37E+03	4.33E+02	2.45E+04	1.11E+03	1.84E-01	1.51E+05	6.76E+02	4.05E-02
AB000905_at	DNA for H4 histone	4.65E+03	2.89E+03	6.26E+03	1.21E+05	2.51E+03	1.80E+03	1.44E+01	5.71E+04	5.99E+04	1.60E+02	2.94E+00	7.41E-02	5.92E+03	1.08E+03	8.86E+04	3.04E+02	2.74E-03	1.05E+02	1.66E+02	7.44E-01	2.58E+06	4.37E-01	2.99E+01	9.18E+03	1.84E+05	8.61E+04	9.44E+01	2.61E+03	1.22E+04	1.07E+03	2.38E+04	1.62E+02	6.96E-01	2.13E+03	1.22E+00	2.20E+00	4.38E+03	1.51E+02	3.45E+02	4.76E+02	2.18E+03	6.46E-02
AB001106_at	GLIA MATURATION FACTOR BETA	2.35E+03	6.44E+00	1.49E-01	1.71E+05	1.02E+00	4.66E-02	3.34E-02	5.70E-02	2.70E+03	1.28E-02	1.48E-02	2.12E-02	1.52E-02	1.19E-01	3.37E-02	2.73E-02	5.61E-03	2.47E-02	1.24E-02	9.37E-03	9.24E-02	1.19E-02	1.06E-01	1.31E-01	3.93E-02	1.11E-01	2.02E-02	3.64E-02	5.41E-02	2.75E+00	2.93E+02	6.23E-03	8.49E-03	8.08E-03	7.52E-03	5.52E-03	3.30E-01	2.10E-02	3.42E-02	2.38E-02	6.28E+00	9.27E-03
AB001325_at	AQP3 Aquaporin 3	4.77E+03	1.22E+02	2.18E+03	1.39E+02	3.46E+00	5.33E-02	1.36E-01	6.50E-02	1.83E+02	3.35E-02	3.21E-02	7.92E-02	8.24E-01	1.53E-01	1.48E-01	2.04E-01	1.01E-02	7.57E-02	3.41E-02	3.68E-01	3.76E+01	3.30E-02	3.92E-02	1.95E-01	1.01E-01	6.26E-01	6.00E-02	6.08E-02	3.35E-02	8.25E-02	1.94E+00	2.94E-02	5.06E-02	7.16E-02	3.88E-02	2.01E-02	2.53E+00	7.34E-01	1.14E+01	6.85E-02	8.06E-01	9.21E-02
AB002314_at	KIAA0316 gene	8.07E+04	3.15E+03	1.03E+05	1.44E+04	2.92E+04	3.61E+03	1.43E+02	5.16E+03	2.92E+04	1.45E+04	6.77E+00	4.18E+01	2.06E+04	8.11E+04	1.39E+03	6.20E+03	5.28E-03	7.29E+03	6.64E+04	4.49E-01	7.45E+03	6.74E+03	5.10E+03	4.39E+05	5.19E+02	6.90E+05	3.00E+04	3.19E+04	1.75E+03	7.23E+03	2.35E+04	5.69E+02	1.98E+03	4.54E+03	8.83E+03	2.51E+03	1.04E+04	2.08E+03	1.94E+04	8.45E+03	6.29E+03	1.20E-01
AB002315_at	KIAA0317 gene	1.35E+04	1.28E-01	1.32E+00	1.66E+02	1.69E+01	1.54E-01	3.15E-02	1.75E-02	1.02E+03	5.59E-02	4.76E-02	6.57E+01	1.25E-01	8.20E-02	3.95E-01	5.33E-02	1.28E-01	2.24E-02	3.22E-02	3.94E-02	2.11E-01	3.89E-02	2.74E-01	4.21E+03	7.59E+00	1.75E+00	6.66E-02	2.49E-02	4.94E-02	1.08E+02	6.82E+01	6.53E-03	1.74E-02	9.72E-03	9.66E-03	1.44E-02	1.18E-01	3.87E-02	4.96E-02	2.05E-02	7.40E-02	3.91E-02
AB002318_at	"KIAA0320 gene, partial cds"	5.81E+04	3.33E+05	1.50E+04	4.34E+06	1.68E+04	4.74E+03	2.33E-01	8.46E+00	1.39E+04	2.81E+00	9.37E-02	1.44E+04	2.77E+03	3.34E+03	3.47E+02	1.31E+03	1.93E+06	9.97E+00	8.87E+00	2.10E+00	7.76E+03	6.87E+02	6.57E+00	1.73E+03	2.05E+03	1.68E+03	1.30E+03	7.49E+01	2.21E+02	2.90E+03	1.80E+04	7.98E-02	1.29E-01	9.91E+00	6.19E-01	5.99E-02	2.64E+05	1.77E+02	1.30E+06	1.75E+05	2.86E+05	2.77E+01
AB002332_at	KIAA0334 gene	6.32E+00	1.16E+00	4.15E-01	2.61E+02	3.55E-01	9.15E-02	3.95E-02	2.23E-02	3.54E+04	2.40E-02	2.80E-02	2.08E-01	4.41E-02	1.79E-01	5.23E-02	2.40E-02	6.87E-02	1.96E-02	3.82E-02	2.43E-02	1.07E+00	1.47E-02	5.01E-02	7.01E-01	7.25E-02	1.69E+00	9.31E-02	4.12E-02	5.48E-02	6.67E+00	2.73E+00	2.89E-02	1.44E-02	8.15E-03	2.28E-02	1.52E-02	1.47E-01	2.29E-02	7.55E-02	3.77E-02	8.69E-02	2.56E-02
AB002356_s_at	DENN mRNA	7.73E+01	9.04E-02	5.99E-02	3.75E+01	1.01E-01	6.31E-02	5.81E-02	7.75E-02	2.74E+02	1.43E-02	1.27E-02	9.37E-02	3.09E-02	4.94E-02	6.08E-02	3.61E-02	1.44E-01	2.35E-02	8.82E-02	2.38E-02	6.14E+03	2.48E-02	4.84E-02	2.43E-01	9.02E-02	7.01E-02	8.98E-02	1.19E-01	6.27E-02	8.37E-02	1.07E-01	2.40E-02	1.70E-02	3.04E-02	2.60E-02	1.31E-02	8.14E-01	5.03E-02	9.40E-02	7.41E-02	1.78E+00	7.81E-02
AB002365_at	"KIAA0367 gene, partial cds"	4.95E+03	1.33E+04	7.40E-02	1.16E+05	1.15E+04	6.69E-02	9.99E+04	1.76E+02	9.42E+03	3.81E-03	6.12E-03	5.29E-02	4.62E+05	2.07E+04	3.61E-02	1.22E+05	1.98E+05	2.09E+04	1.39E+07	3.60E+05	2.05E+05	2.98E+05	2.40E-02	3.73E-02	2.03E-02	2.51E-02	2.32E-02	2.09E-02	2.16E-02	7.43E-03	2.16E-02	5.09E-02	1.35E+04	5.58E-03	1.19E+05	8.60E+03	3.72E+05	5.66E+06	3.47E+03	1.41E-01	3.47E+04	3.70E-02
AB002366_at	"KIAA0368 gene, partial cds"	4.71E+04	5.01E+02	1.22E+06	1.20E+04	2.75E+04	1.24E+03	1.41E+05	7.36E+01	3.04E+04	5.69E-02	5.07E+04	5.70E+03	5.93E+04	2.41E+02	2.22E+00	9.28E+03	1.17E+07	4.24E+03	3.42E+02	5.72E-01	8.60E+04	4.69E+03	1.34E+03	1.28E+04	5.80E+03	1.22E+03	2.70E+03	2.59E+04	1.13E+04	7.89E+00	3.44E+04	4.09E+04	1.15E+04	2.85E+02	2.23E+00	2.21E+05	7.99E+03	1.55E+02	1.20E+03	6.37E+02	1.56E+04	4.03E+04
AB002380_at	"KIAA0382 gene, partial cds"	1.00E+03	1.17E+01	2.09E-01	1.89E+05	1.99E-01	2.69E+01	2.49E-02	1.10E-02	6.42E+03	4.41E-02	5.55E-02	2.37E+01	3.51E+00	1.38E+00	1.17E-01	1.78E+00	1.99E+05	5.01E-02	2.07E+01	2.37E-02	1.39E-01	5.39E+01	2.37E-02	7.58E-02	5.98E-02	5.53E-02	2.87E-02	8.32E-02	3.77E-02	3.88E-02	2.31E-01	8.87E-03	8.68E-03	3.95E-03	1.14E-02	8.16E-03	5.40E-01	1.55E-02	4.40E-02	2.32E-02	1.22E-01	3.52E-02
AB002382_at	KIAA0384 gene	5.34E+02	2.64E-01	3.81E+04	2.54E+04	9.11E+02	2.39E-02	9.75E-02	4.12E-02	9.23E+03	6.96E+00	3.63E+04	3.27E+03	6.41E-02	8.23E-02	2.25E-01	7.28E-02	3.60E+02	3.22E-02	1.92E-01	1.17E-01	6.02E-01	6.57E-02	5.04E-02	8.76E-01	8.81E+01	1.38E-01	5.83E-02	1.61E-01	9.99E-02	1.46E-01	7.65E+00	3.86E-03	1.15E-02	2.68E-02	4.39E-03	7.86E-03	2.91E-01	1.33E-02	2.81E-02	2.29E-02	4.65E+03	3.97E-02
AB002409_at	SLC	2.92E+04	1.39E+05	2.31E+04	4.32E+05	7.67E+03	7.45E+03	1.45E+04	5.96E+04	6.21E+05	1.20E+04	8.89E+05	1.19E+04	1.44E+04	6.13E+04	7.78E+04	3.31E+04	4.25E+04	6.60E+03	1.60E+06	3.29E+05	1.70E+04	1.84E+04	9.63E+03	2.20E+04	1.25E+04	9.95E+03	1.75E+03	3.79E+04	4.87E+05	1.65E+04	1.02E+04	2.07E+04	5.15E+05	2.21E-02	6.44E+03	5.98E+03	1.11E+08	1.70E+04	1.83E+04	6.17E+04	1.70E+04	4.42E+04
AB002533_at	"RPLP2 Hemoglobin, beta"	3.03E-02	1.70E-02	5.47E-01	1.17E+00	2.47E-01	2.96E-02	1.86E-02	2.39E-02	2.06E-01	5.53E-02	5.19E-02	8.51E-02	6.78E-03	1.12E-02	7.30E-03	4.15E-03	9.65E-03	3.48E-03	6.81E-03	4.24E-02	7.37E-03	4.55E-03	1.35E-02	5.78E-02	1.64E-01	6.87E-02	2.30E-02	1.33E-02	1.99E-02	1.03E-01	3.56E-02	4.00E-03	3.47E-03	3.91E-03	4.07E-03	3.83E-03	1.23E-02	5.47E-03	1.12E-02	6.11E-03	2.23E-02	4.74E-02
AB002559_at	Hunc18b2	3.16E+01	1.12E+00	1.81E+04	5.95E+02	5.13E-01	8.68E+02	7.68E+01	4.08E+01	2.28E+03	4.86E+01	2.81E+03	7.24E+03	9.02E-01	2.74E+00	3.83E+04	7.92E+01	1.60E+03	5.16E-01	4.25E-01	2.97E+04	1.25E+03	9.45E+01	1.60E-01	3.50E+01	2.59E+01	2.04E+04	1.41E-01	8.23E-01	4.23E-01	5.23E+02	6.02E-01	1.63E-01	1.82E-01	2.05E-01	5.84E-02	1.58E+00	8.22E+04	6.80E-01	1.72E+04	4.33E-01	6.29E+03	5.51E+03
AB003102_at	Proteasome subunit p44.5	2.03E-01	7.35E-02	1.48E+01	2.04E+03	9.31E-02	6.18E-02	1.73E-02	1.34E-02	2.72E+05	7.07E-02	1.01E-01	1.10E+00	1.99E-02	5.69E-02	1.43E-01	2.54E-02	4.48E+03	1.48E-02	5.36E-02	1.31E+00	6.28E-02	2.97E-02	3.42E-02	3.30E+00	7.20E+00	1.95E-01	1.96E-02	1.60E-02	2.33E-02	8.78E-02	1.68E-01	2.38E-03	3.33E-03	4.84E-03	3.28E-03	3.13E-03	3.19E-01	8.44E-03	1.37E-02	8.70E-03	8.02E+00	7.83E+04
AB003103_at	Proteasome subunit p55	4.00E+04	7.30E+01	1.19E+01	3.35E+02	9.30E-02	1.16E-01	2.07E-02	3.71E-02	8.13E+04	1.27E-02	1.78E-02	4.06E-01	2.52E-02	2.27E+03	4.24E-02	1.89E-01	7.79E+02	3.91E-02	7.25E-02	3.80E-02	2.55E+00	4.29E-02	5.55E-02	2.97E+01	1.60E+05	1.58E-01	6.54E-02	2.75E-02	4.02E-02	1.13E-01	3.54E+00	2.12E-03	2.05E-02	1.01E-02	1.48E-02	9.05E-03	3.98E+01	2.01E-02	7.08E-02	4.25E-02	2.09E+04	6.42E-02
AB003177_at	Proteasome subunit p27	5.12E+03	1.03E+01	6.17E+03	8.17E+03	1.41E+03	6.14E-01	1.94E+01	9.74E-02	8.62E+03	1.24E-01	6.74E-02	2.53E+03	1.23E-01	1.85E+02	3.65E+00	4.79E-01	2.47E+00	4.79E-02	6.32E-01	1.41E+01	7.49E-01	4.49E-02	5.44E+02	5.75E+02	8.08E+01	1.45E+02	7.91E-02	4.58E-02	4.82E-02	4.99E+01	2.55E+03	9.94E-03	6.27E-03	1.96E-02	6.16E-03	6.36E-03	8.15E+03	3.81E-02	9.60E-02	2.92E-02	1.90E+04	1.23E+02
AB003698_at	Cdc7-related kinase	3.85E+04	1.09E+04	4.56E+04	1.51E+05	2.47E+04	5.33E+04	7.04E-02	1.29E+02	2.47E+03	3.66E-02	5.93E-02	1.09E+04	8.15E-02	7.90E+03	7.82E-02	1.38E+02	6.90E-02	1.07E-02	2.43E+01	7.80E-02	1.03E+03	1.14E-01	3.07E+02	5.29E+04	7.29E+03	2.33E+02	1.16E-01	1.03E-01	3.05E-02	7.29E+03	1.45E+03	1.15E-02	1.86E-02	1.08E-02	1.86E-02	6.36E-03	1.76E+02	2.27E-02	2.03E+03	3.70E-02	7.14E+02	1.22E-01
AB004884_at	"PKU-alpha, partial cds"	1.05E+04	8.95E-02	1.97E+02	2.22E+05	6.18E-01	2.38E-01	1.29E-02	2.74E-02	2.14E+04	3.34E-02	6.86E-02	1.55E+01	9.76E-03	1.05E+00	2.75E-02	3.33E-02	9.60E-02	1.17E-02	1.74E-02	8.89E-03	7.01E-02	1.71E-02	2.92E-02	2.69E+00	7.80E+01	6.85E-02	4.80E-02	7.82E-02	1.02E+01	9.16E-02	3.15E+01	1.36E-02	4.73E-03	1.22E-02	1.19E-02	8.80E-03	8.75E+01	2.07E-02	2.97E-02	1.78E-02	4.82E+04	8.65E-02
