Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
AFFX-BioB-5_st (endogenous control)	AFFX-BioB-5_st	377	A	141	A	66	A	55	A	-6	A	195	A	-1	A	379	A	-46	A	-42	A	-42	A	-1152	A	-1063	A	-183	A	203	A	83	A	-51	A	-151	A	884	A	-98	A	40	A	161	A	67	A	1206	A	339	A	16	A	-43	A	-48	A	-20	A	205	A	121	A	-570	A	288	A	121	A	0	A	128	A	-923	A	35	A	336	A	-263	A	-23	A	241	A
AFFX-BioB-M_st (endogenous control)	AFFX-BioB-M_st	10	A	-99	A	1	A	-27	A	-63	A	-34	A	-97	A	-177	A	129	A	-49	A	557	A	748	A	-187	A	41	A	354	A	-721	A	-1330	A	-202	A	-119	A	817	A	-353	A	177	A	-28	A	136	A	-494	A	-28	A	96	A	63	A	-34	A	-35	A	-188	A	-876	A	-128	A	-1162	A	273	A	-188	A	163	A	92	A	-128	A	94	A	589	A	131	A
AFFX-BioB-3_st (endogenous control)	AFFX-BioB-3_st	-513	A	-611	A	-298	A	-341	A	-257	A	-599	A	-397	A	-942	A	-249	A	-711	A	-1826	A	-1425	A	-1285	A	-1263	A	-1462	A	-528	A	-1694	A	-807	A	-2691	A	-817	A	-538	A	-390	A	-771	A	-712	A	-644	A	-347	A	-531	A	-442	A	-238	A	-611	A	-898	A	-2652	A	-964	A	-1895	A	-775	A	-578	A	-3125	A	-1277	A	-708	A	-1200	A	-3822	A	-2144	A
AFFX-BioC-5_st (endogenous control)	AFFX-BioC-5_st	-518	A	-290	A	-217	A	-327	A	-319	A	-521	A	-319	A	-499	A	-387	A	-860	A	-1123	A	-1305	A	-1256	A	-968	A	-867	A	47	A	-1217	A	-119	A	-2007	A	-930	A	-171	A	-152	A	-469	A	-258	A	-138	A	-426	A	-141	A	-73	A	-43	A	-506	A	-394	A	-3553	A	-1558	A	-725	A	-618	A	-111	A	-1673	A	-1220	A	-787	A	-918	A	-1085	A	-1282	A
AFFX-BioC-3_st (endogenous control)	AFFX-BioC-3_st	-251	A	-96	A	-119	A	-116	A	-246	A	-176	A	-117	A	-368	A	-81	A	-204	A	-475	A	-431	A	-327	A	-413	A	-552	A	-265	A	-533	A	-188	A	-499	A	-277	A	-221	A	-116	A	-128	A	-79	A	-195	A	-215	A	-116	A	-146	A	-104	A	-270	A	-370	A	-1318	A	-682	A	-446	A	-268	A	-68	A	-952	A	-455	A	-4	A	-337	A	-157	A	-113	A
AFFX-BioDn-5_st (endogenous control)	AFFX-BioDn-5_st	-25	A	-264	A	-116	A	-53	A	-269	A	61	A	-235	A	-184	A	-321	A	97	A	365	A	409	A	86	A	389	A	1097	A	-98	A	441	A	307	A	233	A	14	A	-158	A	170	A	147	A	703	A	444	A	-50	A	-82	A	-334	A	-143	A	175	A	-333	A	-184	A	291	A	578	A	-80	A	-59	A	1413	A	468	A	312	A	-508	A	682	A	687	A
AFFX-BioDn-3_st (endogenous control)	AFFX-BioDn-3_st	201	A	448	A	132	A	178	A	-397	A	164	A	-48	A	560	A	71	A	272	A	748	A	1027	A	625	A	856	A	703	A	0	A	272	A	188	A	385	A	662	A	73	A	222	A	146	A	308	A	239	A	38	A	250	A	182	A	47	A	330	A	746	A	-426	A	1003	A	1303	A	31	A	134	A	250	A	629	A	440	A	325	A	770	A	821	A
AFFX-CreX-5_st (endogenous control)	AFFX-CreX-5_st	-82	A	-9	A	-53	A	-50	A	283	A	-114	A	68	A	0	A	-149	A	30	A	45	A	16	A	-19	A	-230	A	-116	A	58	A	-117	A	26	A	-265	A	192	A	-192	A	67	A	-69	A	-106	A	-193	A	-103	A	10	A	-132	A	-27	A	15	A	60	A	442	A	-44	A	489	A	-183	A	-122	A	-317	A	-198	A	79	A	-148	A	-402	A	-61	A
AFFX-CreX-3_st (endogenous control)	AFFX-CreX-3_st	-146	A	-380	A	-313	A	-37	A	41	A	-167	A	-144	A	-581	A	-128	A	-933	A	-602	A	-1267	A	-298	A	-253	A	-1068	A	-415	A	-650	A	-303	A	-1117	A	-709	A	-281	A	-253	A	-284	A	-549	A	-549	A	-227	A	-253	A	-123	A	-98	A	-401	A	-449	A	-1213	A	-1913	A	-2187	A	-394	A	-397	A	-903	A	-692	A	-118	A	-342	A	-1202	A	-929	A
hum_alu_at (miscellaneous control)	hum_alu_at	13880	P	38104	P	31848	P	18573	P	34980	P	19154	P	19638	P	45193	P	31146	P	12703	P	40302	P	107371	P	85099	P	123035	P	38417	P	57072	P	36938	P	38933	P	101730	P	92850	P	14962	P	9194	P	9445	A	16308	P	14954	P	35571	P	20512	P	34739	P	21740	P	48647	P	113296	P	123239	P	50351	P	44685	P	72572	P	31610	P	149717	P	49683	P	102147	P	37904	P	92069	P	41556	P
AFFX-DapX-5_at (endogenous control)	AFFX-DapX-5_at	-503	A	-191	A	-55	A	-137	A	-1513	A	-76	A	-171	A	-145	A	-35	A	-1238	A	78	A	-98	A	-1910	A	-212	A	-1514	A	-4716	A	-99	A	-2323	A	-16	A	-159	A	-2113	A	-50	A	-751	A	-60	A	-1958	A	-52	A	0	A	-138	A	-143	A	-922	A	-145	A	1085	A	22	M	-712	A	53	A	-86	A	-192	A	-43	A	-663	A	-86	A	350	A	-163	A
AFFX-DapX-M_at (endogenous control)	AFFX-DapX-M_at	54	A	653	A	101	A	121	A	-563	A	183	A	48	A	485	A	97	A	-576	A	279	A	256	A	-972	A	259	A	-493	A	-2862	A	213	A	-1178	A	737	A	502	A	-791	A	51	A	-640	A	142	A	-561	A	-62	A	164	A	-5	A	-2	A	-882	A	297	A	176	A	452	A	-676	A	165	A	105	A	1125	A	615	A	128	A	327	A	180	A	390	A
AFFX-DapX-3_at (endogenous control)	AFFX-DapX-3_at	-44	A	127	A	1	A	-38	A	-86	A	-13	A	-101	A	-187	A	-85	A	-92	A	-40	A	-333	A	-110	A	-129	A	-143	A	-36	A	20	A	-111	A	-32	A	103	A	-74	A	-48	A	19	A	-69	A	-99	A	-184	A	-68	A	-34	A	-43	A	115	A	-619	A	-80	A	-144	A	-259	A	-210	A	-41	A	-201	A	-147	A	-227	A	-124	A	-145	A	-276	A
AFFX-LysX-5_at (endogenous control)	AFFX-LysX-5_at	-25	A	80	A	69	A	19	A	-47	A	53	A	-4	A	-28	A	10	A	31	A	126	A	180	A	346	P	23	A	-7	A	0	A	-18	A	76	A	54	A	159	A	-166	A	10	A	33	A	12	A	-95	A	45	A	57	A	0	A	11	A	60	A	-60	A	-8	A	-48	A	-29	A	49	A	90	A	86	A	95	A	-59	A	24	A	40	A	20	A
AFFX-LysX-M_at (endogenous control)	AFFX-LysX-M_at	-173	A	-101	A	-114	A	-134	A	-146	A	-6	A	-253	A	-223	A	-96	A	-446	A	-340	A	-366	A	-572	A	-395	A	-455	A	-105	A	-139	A	-232	A	-482	A	-446	A	-38	A	-108	A	-88	A	-282	A	-296	A	-208	A	-107	A	-94	A	-50	A	-10	A	66	A	-168	A	-243	A	-1037	A	-89	A	-99	A	-759	A	-288	A	-74	A	-416	A	-204	A	-271	A
AFFX-LysX-3_at (endogenous control)	AFFX-LysX-3_at	-50	A	-335	A	73	A	-100	A	-139	A	245	A	17	A	-205	A	-10	A	69	A	67	A	262	A	-19	A	-59	A	-14	A	-149	A	81	A	-155	A	32	A	183	A	102	A	25	A	75	A	169	A	-33	A	45	A	-26	A	55	A	-8	A	-220	A	127	A	-956	A	250	A	-269	A	-197	A	33	A	557	A	-35	A	267	A	101	A	-140	A	-26	A
AFFX-PheX-5_at (endogenous control)	AFFX-PheX-5_at	-160	A	-264	A	-90	A	-45	A	-235	A	-94	A	-87	A	-212	A	-65	A	-280	A	-272	A	-251	A	-486	A	-188	A	-436	A	-251	A	-117	A	-184	A	-401	A	-150	A	-228	A	-183	A	-154	A	-198	A	-300	A	-129	A	-104	A	-67	A	-61	A	-85	A	200	A	-273	A	-298	A	-670	A	-183	A	55	A	-240	A	-185	A	-123	A	-153	A	-320	A	-268	A
AFFX-PheX-M_at (endogenous control)	AFFX-PheX-M_at	-142	A	-304	A	-185	A	-86	A	-278	A	-29	A	-128	A	-262	A	-80	A	-213	A	-164	A	-355	A	-409	A	-224	A	-190	A	-345	A	-173	A	-174	A	-526	A	-169	A	-133	A	-126	A	-75	A	-85	A	-168	A	-122	A	-182	A	-105	A	-54	A	-135	A	-54	A	-337	A	-224	A	-515	A	-80	A	-165	A	-38	A	-234	A	-99	A	-99	A	-443	A	-332	A
AFFX-PheX-3_at (endogenous control)	AFFX-PheX-3_at	121	A	349	A	123	A	47	A	495	A	260	A	-122	A	-67	A	3	A	-16	A	54	A	415	A	-192	A	118	A	-257	A	-7	A	38	A	190	A	271	A	648	A	102	A	36	A	90	A	-22	A	56	A	-76	A	-24	A	101	A	-26	A	150	A	455	A	659	A	333	A	581	A	-129	A	-10	A	48	A	231	A	99	A	-530	A	157	A	-215	A
AFFX-ThrX-5_at (endogenous control)	AFFX-ThrX-5_at	-39	A	-23	A	-69	A	-55	A	-6	A	-1	A	27	A	-95	A	-42	A	-65	A	6	A	125	A	105	A	-76	A	-146	A	-149	A	-162	A	-50	A	-206	A	70	A	-60	A	44	A	8	A	85	A	-41	A	-45	A	23	A	3	A	-32	A	-140	A	97	A	72	A	-218	A	-236	A	13	A	-55	A	19	A	-59	A	-168	A	9	A	-425	A	11	A
AFFX-ThrX-M_at (endogenous control)	AFFX-ThrX-M_at	-77	A	-99	A	-75	A	-99	A	-244	A	-55	A	4	A	-38	A	-17	A	-31	A	-94	A	-114	A	-129	A	-135	A	-267	A	-196	A	-108	A	-109	A	-200	A	-150	A	-49	A	-46	A	-54	A	-104	A	-65	A	-86	A	3	A	-59	A	-2	A	-45	A	-169	A	-418	A	-102	A	-252	A	17	A	-45	A	-240	A	-98	A	-222	A	-129	A	-303	A	-40	A
AFFX-ThrX-3_at (endogenous control)	AFFX-ThrX-3_at	-221	A	-354	A	-296	A	-287	A	-509	A	-468	A	-353	A	-840	A	-229	A	-483	A	-778	A	-1491	A	-1371	A	-749	A	-1288	A	-513	A	-510	A	-368	A	-987	A	-573	A	-342	A	-350	A	-262	A	-447	A	-352	A	-522	A	-373	A	-230	A	-289	A	-451	A	-455	A	-699	A	-1016	A	-1425	A	-250	A	-244	A	-942	A	-299	A	-430	A	-473	A	-886	A	-483	A
AFFX-TrpnX-5_at (endogenous control)	AFFX-TrpnX-5_at	-83	A	-33	A	-79	A	-2	A	-52	A	-10	A	-32	A	113	A	-30	A	7	A	83	A	-98	A	-182	A	-141	A	-141	A	-116	A	144	A	-56	A	-37	A	0	A	-33	A	-60	A	-126	A	-24	A	47	A	-59	A	-28	A	-40	A	-36	A	-140	A	516	P	128	A	-185	A	0	A	31	A	55	A	38	A	24	A	-128	A	-218	A	110	A	17	A
AFFX-TrpnX-M_at (endogenous control)	AFFX-TrpnX-M_at	-522	A	-1116	A	-771	A	-682	A	-5805	A	-759	A	-821	A	-2541	A	-634	A	-2786	A	-1050	A	-1436	A	-6421	A	-1842	A	-5851	A	-12928	A	-920	A	-1773	A	-1709	A	-1301	A	-3663	A	-704	A	-2815	A	-570	A	-3344	A	-893	A	-558	A	-634	A	-525	A	-20212	A	-1202	A	-11511	A	-2462	A	-9807	A	-568	A	-587	A	-1865	A	-1106	A	-9387	A	-1714	A	-1698	A	-1629	A
AFFX-TrpnX-3_at (endogenous control)	AFFX-TrpnX-3_at	-298	A	-495	A	-419	A	-468	A	-2787	A	-476	A	-408	A	-1222	A	-339	A	-2914	A	-442	A	-551	A	-5285	A	-826	A	-2983	A	-10939	A	-355	A	-2087	A	-808	A	-662	A	-2914	A	-436	A	-1882	A	-337	A	-2691	A	-519	A	-285	A	-338	A	-368	A	-22990	A	-418	A	-4799	A	-1093	A	-7570	A	-232	A	-235	A	-615	A	-539	A	-4735	A	-739	A	-828	A	-652	A
AFFX-HUMISGF3A/M97935_5_at (endogenous control)	AFFX-HUMISGF3A/M97935_5_at	-326	A	-642	A	-449	A	-515	A	-3910	A	-652	A	-423	A	-1006	A	-286	A	-3084	A	-417	A	-426	A	-5097	A	-838	A	-3011	A	-10528	A	-240	A	-1912	A	-917	A	-752	A	-1870	A	-452	A	-2738	A	136	A	-2581	A	-603	A	-277	A	-271	A	-383	A	-21515	A	-594	A	-4541	A	-1147	A	-5596	A	-439	A	-254	A	-221	A	-495	A	-4037	A	-632	A	-332	A	-556	A
AFFX-HUMISGF3A/M97935_MA_at (endogenous control)	AFFX-HUMISGF3A/M97935_MA_at	-267	A	-354	A	-285	A	-437	A	-2801	A	15	A	-251	A	-375	A	-330	A	-2416	A	-360	A	207	A	-2493	A	-147	A	-3965	A	-6387	A	749	A	-1012	A	-1969	A	-145	A	-1451	A	-339	A	-2117	A	1103	P	258	A	-359	A	349	A	365	A	-72	A	-22503	A	-176	A	-5739	A	-1025	A	-5412	A	-443	A	752	P	-9	A	-187	A	-3497	A	-607	A	-326	A	-169	A
AFFX-HUMISGF3A/M97935_MB_at (endogenous control)	AFFX-HUMISGF3A/M97935_MB_at	154	A	153	A	136	A	86	A	31	A	426	P	213	P	978	P	108	P	245	A	322	A	682	P	539	P	336	P	545	P	3568	P	1183	P	453	P	455	A	230	A	1710	P	316	P	-127	A	1804	P	3638	P	-83	A	688	P	524	P	361	P	-280	A	-121	A	-297	A	647	A	68	A	-22	A	1236	P	509	A	479	P	366	A	205	A	682	P	244	A
AFFX-HUMISGF3A/M97935_3_at (endogenous control)	AFFX-HUMISGF3A/M97935_3_at	489	P	658	A	834	P	502	P	725	P	1586	P	739	P	3051	P	617	P	817	P	554	P	2185	P	1554	P	1558	P	1809	P	6059	P	2336	P	1504	P	2224	P	836	P	4286	P	1196	P	1548	P	4037	P	5675	P	1250	P	2514	P	2114	P	2351	P	165	A	692	M	1551	P	1420	P	1583	P	282	A	3920	P	1230	A	1474	P	901	P	821	P	2345	P	2083	P
AFFX-HUMRGE/M10098_5_at (endogenous control)	AFFX-HUMRGE/M10098_5_at	154	A	17546	P	2290	P	5124	P	267	A	8536	P	493	P	-432	A	208	P	34	A	248	A	1207	P	981	P	366	M	721	P	-83	A	423	A	202	A	743	A	1927	P	-93	A	309	A	-186	A	-149	A	-166	A	114	A	-56	A	253	A	4	A	-305	A	-394	A	1551	P	615	A	972	A	-335	A	-155	A	7626	P	1250	P	-74	A	1898	P	6809	P	1343	P
AFFX-HUMRGE/M10098_M_at (endogenous control)	AFFX-HUMRGE/M10098_M_at	218	A	12506	P	1649	P	3502	P	483	A	7912	P	194	P	-762	A	385	A	-387	A	-103	A	956	A	486	A	53	A	406	A	-422	A	186	A	283	A	10	A	1706	P	-314	A	-170	A	-239	A	-472	A	-366	A	-474	A	-268	A	109	A	-86	A	80	A	-479	A	-297	A	38	A	-1093	A	-586	A	-428	A	3885	P	482	A	-222	A	2275	P	5496	P	294	A
AFFX-HUMRGE/M10098_3_at (endogenous control)	AFFX-HUMRGE/M10098_3_at	707	P	7860	P	3999	P	7609	P	1015	P	4809	P	831	P	-744	A	1245	P	-203	A	272	P	3594	P	2483	P	236	P	1231	P	-298	A	758	P	1781	P	2702	P	7068	P	-300	A	-284	A	-378	A	-521	A	-435	A	-323	A	-515	A	74	M	89	P	526	A	-200	A	988	P	1381	P	765	P	-371	A	-413	A	5674	P	722	P	-168	A	1669	P	6092	P	174	P
AFFX-HUMGAPDH/M33197_5_at (endogenous control)	AFFX-HUMGAPDH/M33197_5_at	21974	P	18544	P	21602	P	21120	P	19201	P	27675	P	24628	P	30402	P	22093	P	25899	P	25665	P	46261	P	29035	P	40014	P	32947	P	37505	P	43611	P	39886	P	45574	P	22663	P	26493	P	24512	P	16087	P	24007	P	25635	P	12733	P	24568	P	37563	P	20093	P	1734	P	40993	P	2234	P	24246	P	19319	P	21391	P	28833	P	49354	P	53797	P	28677	P	24031	P	29415	P	54871	P
AFFX-HUMGAPDH/M33197_M_at (endogenous control)	AFFX-HUMGAPDH/M33197_M_at	16932	P	18894	P	20344	P	20126	P	15957	P	17777	P	16394	P	24369	P	22941	P	14786	P	23843	P	47102	P	22132	P	39777	P	26828	P	37906	P	31235	P	28728	P	39513	P	17033	P	17482	P	16548	P	13850	P	17234	P	16196	P	16806	P	16203	P	31744	P	19327	P	2065	P	54890	P	2194	A	22768	P	21234	P	25391	P	25932	P	42757	P	41996	P	36950	P	20180	P	29369	P	34778	P
AFFX-HUMGAPDH/M33197_3_at (endogenous control)	AFFX-HUMGAPDH/M33197_3_at	18309	P	31861	P	27782	P	24390	P	26068	P	22919	P	23168	P	36509	P	27653	P	22557	P	35861	P	79422	P	49454	P	70787	P	37663	P	47269	P	42218	P	37176	P	67545	P	44665	P	20765	P	18166	P	21250	P	19842	P	19846	P	32862	P	19717	P	26694	P	25173	P	11271	P	73699	P	45699	P	46043	P	42731	P	35332	P	33510	P	79628	P	52197	P	35211	P	37616	P	51006	P	53525	P
AFFX-HSAC07/X00351_5_at (endogenous control)	AFFX-HSAC07/X00351_5_at	20113	P	32923	P	23615	P	26097	P	21714	P	22886	P	23266	P	38430	P	809	P	19260	P	25685	P	50708	P	37252	P	31411	P	34508	P	49811	P	34444	P	36577	P	48390	P	23453	P	19655	P	17898	P	15587	P	17103	P	15740	P	9164	P	18832	P	19102	P	13390	P	1810	P	26798	P	2427	A	17898	P	14491	P	15311	P	24354	P	36025	P	33730	P	33745	P	34380	P	13549	P	40612	P
AFFX-HSAC07/X00351_M_at (endogenous control)	AFFX-HSAC07/X00351_M_at	23947	P	41364	P	23937	P	30346	P	23312	P	24909	P	27713	P	42726	P	8841	P	25055	P	28497	P	69080	P	56015	P	42600	P	44352	P	66748	P	41158	P	42520	P	66172	P	34324	P	21781	P	21377	P	22167	P	15515	P	18261	P	19395	P	24167	P	30827	P	23075	P	1148	A	56299	P	932	A	24345	P	16514	P	38060	P	37534	P	65828	P	40146	P	54343	P	40358	P	23586	P	49045	P
AFFX-HSAC07/X00351_3_at (endogenous control)	AFFX-HSAC07/X00351_3_at	19713	P	36974	P	25653	P	25392	P	26926	P	21065	P	20845	P	49932	P	24186	P	21280	P	28795	P	69315	P	64348	P	50571	P	36957	P	61122	P	35455	P	34617	P	69325	P	50229	P	20561	P	18763	P	20717	P	18436	P	19678	P	37497	P	20792	P	31731	P	24895	P	43728	P	70263	P	52902	P	37031	P	35420	P	33007	P	29945	P	60048	P	42244	P	23892	P	38502	P	19898	P	35690	P
AFFX-HUMTFRR/M11507_5_at (endogenous control)	AFFX-HUMTFRR/M11507_5_at	431	P	243	A	289	P	214	P	157	A	465	P	411	P	634	P	243	P	561	P	383	A	508	A	418	A	366	A	540	A	324	A	441	P	338	P	786	P	108	A	3129	P	623	P	162	A	1994	P	1055	P	124	A	289	P	715	P	107	P	85	A	394	A	1197	A	714	P	-315	A	237	A	268	P	1182	P	307	A	208	A	461	A	52	A	402	A
AFFX-HUMTFRR/M11507_M_at (endogenous control)	AFFX-HUMTFRR/M11507_M_at	206	A	-195	A	156	A	11	P	-82	A	103	A	141	A	141	A	58	A	56	A	24	A	-27	A	-43	A	5	A	-76	A	105	A	58	A	10	P	-75	A	-159	A	2879	P	526	P	14	A	2508	P	969	P	67	A	116	P	565	P	-19	A	-205	A	-72	A	-747	A	-253	A	-298	A	-161	A	-101	A	-634	A	-313	A	-108	A	228	A	-17	A	-236	A
AFFX-HUMTFRR/M11507_3_at (endogenous control)	AFFX-HUMTFRR/M11507_3_at	702	P	594	P	371	P	212	P	182	A	399	P	497	P	655	P	288	P	417	P	38	A	437	P	370	M	436	A	146	A	600	P	510	P	585	P	992	A	794	A	7019	P	2068	P	284	P	5119	P	2289	P	143	A	760	P	1243	P	153	P	150	A	248	A	635	A	881	P	426	A	219	A	150	A	567	A	452	A	366	P	493	P	320	A	300	P
AFFX-M27830_5_at (endogenous control)	AFFX-M27830_5_at	14198	P	28091	P	2649	P	15815	P	746	P	6449	P	1126	P	212	A	2454	P	647	P	8132	P	5506	P	4067	P	4333	P	3786	P	-123	A	2424	P	1838	P	5171	P	5146	P	-95	A	398	P	-23	A	177	A	22	A	352	P	303	P	651	P	129	P	105	A	-78	A	836	A	1157	P	2663	P	67	A	-49	A	12569	P	13110	P	-24	A	8915	P	7807	P	2430	P
